id,fillKey,name,url
AFG,ICA_LEGEND,Afghanistan,http://example.com/Registration/Success/
ARM,ICA_LEGEND
BDI,ICA_LEGEND
BEN,ICA_LEGEND
BFA,ICA_LEGEND
BOL,ICA_LEGEND
CAF,ICA_LEGEND
CMR,ICA_LEGEND
COD,ICA_LEGEND
COD,ICA_LEGEND
DOM,ICA_LEGEND
GIN,ICA_LEGEND
GMB,ICA_LEGEND
GNB,ICA_LEGEND
HND,ICA_LEGEND
HTI,ICA_LEGEND
KEN,ICA_LEGEND
KGZ,ICA_LEGEND
LBR,ICA_LEGEND
LSO,ICA_LEGEND
MLI,ICA_LEGEND
MOZ,ICA_LEGEND
MRT,ICA_LEGEND
MRT,ICA_LEGEND
MWI,ICA_LEGEND
NER,ICA_LEGEND
PAK,ICA_LEGEND
PHL,ICA_LEGEND
SDN,ICA_LEGEND
SEN,ICA_LEGEND
SLE,ICA_LEGEND
SLV,ICA_LEGEND
SSD,ICA_LEGEND
TCD,ICA_LEGEND
TGO,ICA_LEGEND
TJK,ICA_LEGEND
TZA,ICA_LEGEND
UGA,ICA_LEGEND
ZWE,ICA_LEGEND
